	RyersonU	sageryerson	TetraRyerson	mathryerson	
bradish	0.011139402916089133	0.0	0.0	0.0	
brain	0.0055697014580445665	0.0	0.0	0.0	
brainstorm	0.001856567152681522	0.0	0.0	0.0	
brampton	0.001856567152681522	0.0	0.0	0.0	
brand	0.0167091043741337	0.0	0.0	0.0	
brands	0.003713134305363044	0.0	0.0	0.0	
braveheart	0.001856567152681522	0.0	0.0	0.0	
breach	0.001856567152681522	0.0	0.0	0.0	
break	0.022278805832178266	0.0	0.0	0.0	
breakdown	0.001856567152681522	0.0	0.0	0.0	
breaks	0.001856567152681522	0.0	0.0	0.0	
breathtaking	0.001856567152681522	0.0	0.0	0.0	
bredub	0.001856567152681522	0.0	0.0	0.0	
brendapolus	0.001856567152681522	0.0	0.0	0.0	
brian	0.0	0.0	0.0	0.010777172045613662	
briankobus	0.001856567152681522	0.0	0.0	0.0	
brianmillados	0.003713134305363044	0.0	0.0	0.0	
bridges	0.009282835763407611	0.0	0.0	0.0	
briefing	0.003713134305363044	0.0	0.0	0.0	
brighter	0.001856567152681522	0.0	0.0	0.0	
bring	0.0167091043741337	0.0	0.0	0.0	
brinorris	0.0055697014580445665	0.0	0.0	0.0	
britains	0.001856567152681522	0.0	0.0	0.0	
british	0.0027848507290222833	0.0	0.0	0.005388586022806831	
brizi	0.001856567152681522	0.0	0.0	0.0	
broadband	0.003713134305363044	0.0	0.0	0.0	
broadcast	0.007426268610726088	0.0	0.0	0.0	
broadcaster	0.001856567152681522	0.0	0.0	0.0	
brock	0.009282835763407611	0.0	0.0	0.0	
brookfield	0.003713134305363044	0.0	0.0	0.0	
brookfieldiie	0.003713134305363044	0.0	0.0	0.0	
brought	0.007426268610726088	0.0	0.0	0.0	
brown	9.28283576340761E-4	0.0	0.0	0.026942930114034154	
browndalhousie	0.0	0.0	0.0	0.010777172045613662	
browsers	0.001856567152681522	0.0	0.0	0.0	
brunch	0.001856567152681522	0.0	0.0	0.0	
brush	0.0	0.0	0.0	0.010777172045613662	
brushes	0.0	0.0	0.0	0.010777172045613662	
brushing	0.0	0.0	0.0	0.010777172045613662	
bsc	0.0	0.0	0.0	0.010777172045613662	
bttoronto	0.03527477590094892	0.0	0.0	0.0	
btw	0.0055697014580445665	0.0	0.0	0.0	
budget	0.029705074442904354	0.0	0.0	0.0	
budgeting	0.012995970068770655	0.0	0.0	0.0	
build	0.0167091043741337	0.0	0.0	0.0	
builder	9.28283576340761E-4	0.0	0.0	0.005388586022806831	
building	0.01578082079779294	0.0	0.0	0.005388586022806831	
buildings	0.037131343053630445	0.0	0.0	0.0	
builds	0.007426268610726088	0.0	0.0	0.0	
built	0.001856567152681522	0.0	0.0	0.0	
bullet	0.003713134305363044	0.0	0.0	0.0	
bumper	0.003713134305363044	0.0	0.0	0.0	
buonouoitedge	0.0	0.0	0.0	0.010777172045613662	
bureau	0.003713134305363044	0.0	0.0	0.0	
burgess	0.0	0.0	0.0	0.021554344091227324	
burman	0.001856567152681522	0.0	0.0	0.0	
burning	0.007426268610726088	0.0	0.0	0.0	
bursary	0.003713134305363044	0.0	0.0	0.0	
burst	0.001856567152681522	0.0	0.0	0.0	
burtynsky	0.001856567152681522	0.0	0.0	0.0	
burying	0.001856567152681522	0.0	0.0	0.0	
bus	0.001856567152681522	0.0	0.0	0.0	
busiest	0.001856567152681522	0.0	0.0	0.0	
business	0.07797582041262394	0.0	0.0	0.0	
businesses	0.003713134305363044	0.0	0.0	0.0	
buskerfestto	0.001856567152681522	0.0	0.0	0.0	
