	CatsRuleNews	TheCatTweeting	sweetiepiecat	ElDiabloZoe	
bo	0.0	0.0	0.0045369390578912	0.0	
boardlion	0.0	0.0	0.0045369390578912	0.0	
bob	0.0	0.0	0.0181477562315648	0.0	
bod	0.0	0.0	0.0045369390578912	0.0	
bodies	0.0	0.0	0.0045369390578912	0.0	
body	0.0	0.0	0.027221634347347198	0.0	
bodyguard	0.0	0.0	0.0045369390578912	0.0	
bodyguards	0.0	0.0	0.0045369390578912	0.0	
bon	0.0	0.0	0.0045369390578912	0.0	
bond	0.0	0.0	0.0181477562315648	0.0	
boned	0.0	0.0	0.0045369390578912	0.0	
bonkers	0.0	0.0	0.0045369390578912	0.0	
bonnets	0.0	0.0	0.0045369390578912	0.0	
bonnie	0.0	0.0	0.0045369390578912	0.0	
booed	0.0	0.0	0.0045369390578912	0.0	
book	0.0	0.014672150680979093	0.0045369390578912	0.0	
books	0.0	0.005868860272391637	0.0	0.0	
boom	0.0	0.005868860272391637	0.0	0.0	
boomxitsxsarah	0.0	0.005868860272391637	0.0	0.0	
booth	0.07963387016791235	0.0	0.0	0.0	
boots	0.0	0.0	0.0090738781157824	0.0	
booze	0.0	0.0	0.0090738781157824	0.0	
bored	0.0	0.0	0.0090738781157824	0.0	
boring	0.0	0.01760658081717491	0.0	0.0	
born	0.0	0.0	0.0635171468104768	0.0	
borrow	0.0	0.0	0.0045369390578912	0.0	
boss	0.0	0.0	0.0045369390578912	0.0	
boston	0.0	0.0	0.022684695289456	0.0	
bothepanfur	0.0	0.0	0.0045369390578912	0.0	
bother	0.0	0.01760658081717491	0.006805408586836799	0.0	
bottle	0.0	0.008803290408587456	0.006805408586836799	0.0	
bottom	0.0	0.0	0.0045369390578912	0.0	
bought	0.0	0.0029344301361958185	0.006805408586836799	0.0	
boundaries	0.0	0.0	0.0045369390578912	0.0	
bout	0.0	0.0	0.0090738781157824	0.0	
bowies	0.0	0.0	0.0045369390578912	0.0	
bowl	0.0	0.005868860272391637	0.0158792867026192	0.0	
box	0.02478828174928984	0.013396884000887082	0.002824499761451515	0.0	
boxer	0.0	0.0	0.0045369390578912	0.0	
boxes	0.05972540262593427	0.0029344301361958185	0.0	0.0	
boy	0.0	0.0	0.045369390578912	0.0	
boyfrienddream	0.0	0.0	0.0045369390578912	0.0	
boys	0.0	0.0	0.022684695289456	0.0	
bps	0.0	0.0	0.0045369390578912	0.0	
bra	0.0	0.0	0.0045369390578912	0.0	
brad	0.0	0.0	0.0045369390578912	0.0	
brain	0.0	0.0029344301361958185	0.006805408586836799	0.0	
brains	0.0	0.0	0.0045369390578912	0.0	
brand	0.0	0.0	0.0090738781157824	0.0	
brands	0.0	0.0	0.0090738781157824	0.0	
